time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
0.0494922,1,8.779999999999973,8.720000000000027,0.05999999999994543,99.31662870159515,633.02,641.74,641.8
0.05,1,8.580000000000041,8.430000000000064,0.14999999999997726,98.25174825174852,641.81,650.24,650.39
0.050495,1,8.649999999999977,8.580000000000041,0.06999999999993634,99.19075144508744,650.4,658.98,659.05
0.0509901,1,8.56000000000006,8.490000000000009,0.07000000000005002,99.18224299065362,659.05,667.54,667.61
0.0514851,1,8.779999999999973,8.68999999999994,0.09000000000003183,98.97494305239142,667.62,676.31,676.4
0.0519802,1,8.980000000000018,8.899999999999977,0.08000000000004093,99.10913140311759,676.41,685.31,685.39
0.0524702,1,8.690000000000055,8.629999999999995,0.06000000000005912,99.3095512082847,685.4,694.03,694.09
0.0529602,1,8.620000000000005,8.549999999999955,0.07000000000005002,99.1879350348022,694.11,702.66,702.73
0.0534502,1,8.600000000000023,8.529999999999973,0.07000000000005002,99.18604651162732,702.73,711.26,711.33
0.0539402,1,8.610000000000014,8.529999999999973,0.08000000000004093,99.07084785133519,711.33,719.86,719.94
0.0544302,1,8.629999999999995,8.569999999999936,0.06000000000005912,99.30475086906073,719.95,728.52,728.58
0.0549202,1,8.17999999999995,8.120000000000005,0.05999999999994543,99.26650366748233,728.58,736.7,736.76
0.0554102,1,8.5,8.420000000000073,0.07999999999992724,99.05882352941262,736.77,745.19,745.27
0.0559002,1,8.590000000000032,8.529999999999973,0.06000000000005912,99.30151338765938,745.28,753.81,753.87
0.0563848,1,8.370000000000005,8.31000000000006,0.05999999999994543,99.28315412186444,753.88,762.19,762.25
0.0568694,1,8.259999999999991,8.210000000000036,0.049999999999954525,99.39467312348724,762.25,770.46,770.51
0.057354,1,8.370000000000005,8.279999999999973,0.09000000000003183,98.92473118279533,770.52,778.8,778.89
0.0578386,1,8.519999999999982,8.460000000000036,0.05999999999994543,99.29577464788795,778.9,787.36,787.42
0.0583177,1,8.160000000000082,8.090000000000032,0.07000000000005002,99.14215686274449,787.42,795.51,795.58
